,Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
,Hàng hóa,1G123048125,10k-Lays Gà cay HQ x 100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1H123019163,10k-Lays Tôm Trứng muối HK x100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1H123041163T,10k-Lays Tôm x 48 gói Thái,Thùng,POCA," 379,200 "
,Hàng hóa,1M123016163,10k-Lays Phô mai x 100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1M123018163,10k-Lays Mực cay thái x 80 gói,Gói,POCA," 8,300 "
,Hàng hóa,1N123022163,10k-Lays Tự nhiên x 100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1N123041163T,10k-Lays Tự nhiên x 48 gói Thái,Thùng,POCA," 379,200 "
,Hàng hóa,1N123052188,10k-Lays Nấm Truffle 45gx100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1N133022163,10k-Lays Muối nguyên bản x 100gói,Gói,POCA," 8,300 "
,Hàng hóa,1S123002163,10k-Lays Sườn BBQ x 100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1S123041163T,10k-Lays Sườn BBQ x 48 gói Thái,Thùng,POCA," 379,200 "
,Hàng hóa,1T123041163,10k-Lays Tảo biển x 100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1T133041163T,10k-Lays Tảo biển x 48 gói Thái,Thùng,POCA," 379,200 "
,Hàng hóa,1W123051188,10k-Lays Bò Wagyu 45gx100 gói,Gói,POCA," 8,300 "
,Hàng hóa,1X123047163,10k-Lays Cua XO x 100 gói,Gói,POCA," 8,300 "
,Hàng hóa,20B123039152,Lays Thăn Bò nướng 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20B123039153,Lays Bò Wagyu 78g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20B123039154,Lays Nấm Truffle 78g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20G123048152,Lays Gà cay Phô mai 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20H123049152,Lays Tôm trứng muối 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20M123205152,Lays Phô Mai 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20N123206152,Lays Tự nhiên Classic 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20N123206200,Lays Muoi Nguyen Ban 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20S123213152,Lays Sườn nướng BBQ 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,20T123041152,Lays Tảo biển Nori 95g 4x10,Gói,POCA," 16,500 "
,Hàng hóa,2K12010275,2k-Partyz Tôm hùm x 120 gói,Thùng,POCA," 186,000 "
,Hàng hóa,2KM2,Nồi inox 28cm,Cái,ABA," 147,474 "
,Hàng hóa,3921018,Sua rua mat Bio Gold 100g - 176026923,Tuýp,Bio Essence," 136,000 "
,Hàng hóa,3921019,SUA RUA MAT BIO WHITE 100G,Tuýp,Bio Essence," 116,000 "
,Hàng hóa,3921020,SUA RUA MAT DA DAU BIO RENEW 100G - 176027357,Tuýp,Bio Essence," 145,000 "
,Hàng hóa,3921021,SUA RUA MAT DA KHO THUONG BIO RENEW 100G - 176027340,Tuýp,Bio Essence," 145,000 "
,Hàng hóa,3921022,GELTAY TE BAO CHET BIO RENEW 60G - 176027371,Tuýp,Bio Essence," 258,000 "
,Hàng hóa,3921024,BIO BIRD’S SRM NEST COLLAGEN  100G - 176030562,Tuýp,Bio Essence," 142,000 "
,Hàng hóa,3921026,Bio-essence Bio Water B5 Foamy Cleanser 100g - 176027265,Tuýp,Bio Essence," 136,000 "
,Hàng hóa,3921028,BE SRM BIO-WHITE PRO WHITENING 100G - 176027739,Tuýp,Bio Essence," 146,000 "
,Hàng hóa,3937010,TINH CHAT BIO WHITE 30ML,Chai,Bio Essence," 433,000 "
,Hàng hóa,3937011,TINH CHAT TRE HOA BIO RENEW 40ML - 176027418,Chai,Bio Essence," 449,000 "
,Hàng hóa,3937012,BIO TINH CHẤT BIRD’S NEST COLLAGEN ESSENCE 30G - 176031156,Chai,Bio Essence," 357,500 "
,Hàng hóa,3937013,BIO WATER TINH CHAT VITAMIN B5 30ML - 176027920,Chai,Bio Essence," 528,000 "
,Hàng hóa,3937016,BIO TINH CHAT GOLD DOUBLE SERUM 36G - 176026633,Chai,Bio Essence," 539,000 "
,Hàng hóa,3937017,BE TINH CHAT BIO-WHITE PRO WHITENING 30ML - 176027777,Tuýp,Bio Essence," 570,000 "
,Hàng hóa,3938007,Nuoc duong Bio Gold 150ml - 176026978,Chai,Bio Essence," 391,000 "
,Hàng hóa,3938009,NUOC CAN BANG BIO WHITE 100ML,Chai,Bio Essence," 282,000 "
,Hàng hóa,3938010,NUOC HOA HONG BIO RENEW 100ML - 176027401,Chai,Bio Essence," 270,500 "
,Hàng hóa,3938011,NUOC KHOANG DUONG DA BIO WATER 300ML - 176027173,Chai,Bio Essence," 320,500 "
,Hàng hóa,3938012,NUOC KHOANG DUONG DA BIO WATER 100ML - 176027180,Chai,Bio Essence," 150,500 "
,Hàng hóa,3938013,NUOC KHOANG DUONG DA BIO WATER  30ML,Chai,Bio Essence," 138,500 "
,Hàng hóa,3938014,NUOC TAY TRANG BIO WATER 100ML - 176028057,Chai,Bio Essence," 87,500 "
,Hàng hóa,3938015,NUOC TAY TRANG BIO WATER 400ML - 176027890,Chai,Bio Essence," 233,500 "
,Hàng hóa,3938017,NUOC CAN BANG BIO BIRD'S NEST - 176030586,Chai,Bio Essence," 366,800 "
,Hàng hóa,3938019,NUOC DUONG BIO GOLD ROSE GOLD 100ML - 176026503,Chai,Bio Essence," 415,000 "
,Hàng hóa,3939015,Kem ngay Bio Gold 40g - 176026510,Hủ,Bio Essence," 456,000 "
,Hàng hóa,3939016,Kem dem Bio Gold 40g - 176026527,Hủ,Bio Essence," 456,000 "
,Hàng hóa,3939017,KEM NGAY BIO WHITE 50G,Hủ,Bio Essence," 315,000 "
,Hàng hóa,3939018,KEM DEM BIO WHITE 50G,Hủ,Bio Essence," 315,000 "
,Hàng hóa,3939021,BIO KEM NÂNG CƠ VLIFT FLC BRIGHTENING 45G - 176027319,Hủ,Bio Essence," 457,000 "
,Hàng hóa,3939022,BIO KEM  NGÀY BIRD NEST COLLAGEN  50G - 176030593,Hủ,Bio Essence," 374,500 "
,Hàng hóa,3939023,KEM DUONG AM BIO WATER 50G - 176027906,Hủ,Bio Essence," 368,000 "
,Hàng hóa,3939024,BE KEM NGAY BIO-WHITE PRO WHITENING 50G - 176027791,Hủ,Bio Essence," 431,000 "
,Hàng hóa,3939025,BE KEM DEM BIO-WHITE PRO WHITENING 50G - 176034935,Tuýp,Bio Essence," 431,000 "
,Hàng hóa,3939026,BE KEM TRI NAM BIO-WHITE PRO WHITENING 25G - 176034942,Tuýp,Bio Essence," 359,000 "
,Hàng hóa,3939027,BE CHONG NANG BIO-WHITE PRO WHITENING 40G - 174004266,Tuýp,Bio Essence," 199,000 "
,Hàng hóa,3940005,BIO MAT NA DUONG AM 20ML - 176028347,Miếng,Bio Essence," 24,500 "
,Hàng hóa,3940006,BIO MAT NA DUONG TRANG 20ML - 176028354,Miếng,Bio Essence," 24,500 "
,Hàng hóa,3940007,BIO MAT NA DUONG TRE HOA 20ML - 176028361,Miếng,Bio Essence," 24,500 "
,Hàng hóa,3940011,BIO MẶT NẠ NGỦ NEST COLLAGEN  50G - 176030609,Hủ,Bio Essence," 374,500 "
,Hàng hóa,3940013,BIOTREASURE MẶT NẠ RAU MÁ 20ML - 176032702,Miếng,Bio Essence," 32,000 "
,Hàng hóa,3940015,BIOTREASURE MẶT NẠ VITAMIN C 20ML - 176032726,Miếng,Bio Essence," 32,000 "
,Hàng hóa,3940016,BIO MAT NA CAP AM WATER B5 20ML,Miếng,Bio Essence," 25,000 "
,Hàng hóa,3941003,KEM CHONG NANG BIO WATER 40ML - 176027241,Chai,Bio Essence," 179,000 "
,Hàng hóa,3KM2,Bộ nồi 3 cái,Bộ,ABA," 137,374 "
,Hàng hóa,4065044,Slide BBQ Thịt nướng 100gx14lon,Lon,KINH DO," 26,500 "
,Hàng hóa,4065046,Slide Cheese Phô Mai 100gx14lon,Lon,KINH DO," 26,500 "
,Hàng hóa,4067131,Ritz Kem Phô mai 160gx10hop,Hộp,KINH DO," 31,500 "
,Hàng hóa,4071196,XHS_Hạt sen Hạt CHIA 150g,Cái,MOON CAKES," 68,000 "
,Hàng hóa,4073887,OREO2_BTT OREO 2 Bánh - 4073887,Hộp,MOON CAKES," 180,000 "
,Hàng hóa,4076972,KD Bánh Quy Mứt Nho 450gx10 Túi,Túi,KINH DO," 38,000 "
,Hàng hóa,4084983,Solite cuộn kem lá dứa 288grx12H,Hộp,KINH DO," 37,000 "
,Hàng hóa,4085403,Solite cuộn kem socola 360grx12Khay,KHAY,KINH DO," 36,400 "
,Hàng hóa,4085735,Cosy bánh quy mứt dâu 240gx12Hop,Hộp,KINH DO," 34,400 "
,Hàng hóa,4085741,COSY Bánh quy Marie Dừa 144grX24gói,Gói,KINH DO," 14,300 "
,Hàng hóa,4085743,COSY Bánh quy Marie 144grX24gói,Gói,KINH DO," 14,300 "
,Hàng hóa,4085744,Cosy Bánh quy Marie 192grx16Hop,Hộp,KINH DO," 21,000 "
,Hàng hóa,4085746,COSY Marie banh quy 336grx10H,Hộp,KINH DO," 36,000 "
,Hàng hóa,4086368,Solite cuộn kem lá dứa 360grx12Khay,KHAY,KINH DO," 36,400 "
,Hàng hóa,4086376,Solite tròn kem dứa 360gx12K,KHAY,KINH DO," 39,000 "
,Hàng hóa,4086380,Solite cuộn kem dâu 360grx12Khay,KHAY,KINH DO," 36,400 "
,Hàng hóa,4086386,Solite tròn kem dâu 360gx12K,KHAY,KINH DO," 39,000 "
,Hàng hóa,4086394,Solite cuộn kem sữa 360grx12Khay,KHAY,KINH DO," 36,400 "
,Hàng hóa,4086397,Solite tròn kem sữa 360gx12K,KHAY,KINH DO," 39,000 "
,Hàng hóa,4086399,Solite tròn kem bơ sữa 276grx10H,Hộp,KINH DO," 42,000 "
,Hàng hóa,4087715,COSY Marie banh quy 576grx8H,Hộp,TET," 63,900 "
,Hàng hóa,4087721,HNX_TV Hồng Ngọc Tâm An 4BX120g - 4087721,Hộp,MOON CAKES," 560,000 "
,Hàng hóa,4087723,HNAB_TV Hồng Ngọc An Bình 4BX160g - 4087723,Hộp,MOON CAKES," 560,000 "
,Hàng hóa,41KM1,Giỏ hoa đứng có nắp,Cái,ABA," 79,797 "
,Hàng hóa,41KM3,Xô 20L có nắp,Cái,ABA," 35,353 "
,Hàng hóa,4231083,A1_Nấm đông cô sốt rượu 150g,Cái,MOON CAKES," 79,000 "
,Hàng hóa,4231084,61_Đậu xanh 1TR 150g,Cái,MOON CAKES," 62,000 "
,Hàng hóa,4231092,5_Hạt sen dừa tươi 2TR 210g,Cái,MOON CAKES," 102,000 "
,Hàng hóa,4231093,6_Đậu xanh hạt dưa 2TR 210g,Cái,MOON CAKES," 98,000 "
,Hàng hóa,4231094,7_Sữa dừa hạt dưa 2TR 210g,Cái,MOON CAKES," 95,000 "
,Hàng hóa,4231095,T_Hạt sen Trà xanh 2TR 210g,Cái,MOON CAKES," 102,000 "
,Hàng hóa,4231096,L_Đậu xanh lá dứa 2TR 210g,Cái,MOON CAKES," 98,000 "
,Hàng hóa,4231097,M_Khoai môn hạt sen 2TR 210g,Cái,MOON CAKES," 98,000 "
,Hàng hóa,4231098,R_Đậu đỏ kiểu nhật 2TR 210g,Cái,MOON CAKES," 95,000 "
,Hàng hóa,4231099,51_Hạt sen 1TR 150g,Cái,MOON CAKES," 65,000 "
,Hàng hóa,4231100,71_Sữa dừa 1TR 150g,Cái,MOON CAKES," 62,000 "
,Hàng hóa,4231101,L1_Đậu xanh lá dứa 1TR 150g,Cái,MOON CAKES," 65,000 "
,Hàng hóa,4231102,M1_Khoai môn 1TR 150g,Cái,MOON CAKES," 62,000 "
,Hàng hóa,4231103,R1_Đậu đỏ 1TR 150g,Cái,MOON CAKES," 62,000 "
,Hàng hóa,4231110,92_Dẻo hạt sen 1TR 180g,Cái,MOON CAKES," 60,000 "
,Hàng hóa,4231111,93_Dẻo Đậu xanh 1TR 180g,Cái,MOON CAKES," 60,000 "
,Hàng hóa,4231112,95_Dẻo hạt sen 0TR 180g,Cái,MOON CAKES," 55,000 "
,Hàng hóa,4231113,96_Dẻo Đậu xanh 0TR 180g,Cái,MOON CAKES," 55,000 "
,Hàng hóa,4231119,2_Gà quay X.O 2TR 210g,Cái,MOON CAKES," 137,000 "
,Hàng hóa,4231120,3_Jambon Xá xíu 2TR 210g,Cái,MOON CAKES," 122,000 "
,Hàng hóa,4231121,4_Lạp xưởng ngũ hạt 2TR 210g,Cái,MOON CAKES," 122,000 "
,Hàng hóa,4231122,21_Gà quay Jambon 1TR 150g,Cái,MOON CAKES," 79,000 "
,Hàng hóa,4231123,31_Thập cẩm jambon 1TR 150g,Cái,MOON CAKES," 73,000 "
,Hàng hóa,4231124,41_Thập cẩm lạp xưởng 1TR 150g,Cái,MOON CAKES," 73,000 "
,Hàng hóa,4231126,KD SW Bơ Đậu Phộng 40grx60G (LÁT),Gói,TƯƠI KINH ĐÔ," 3,920 "
,Hàng hóa,4231354,40_Thập cẩm lạp xưởng 0TR 150g,Cái,MOON CAKES," 68,000 "
,Hàng hóa,4231355,60_Đậu xanh 0TR 150g,Cái,MOON CAKES," 57,000 "
,Hàng hóa,4231358,24_Gà quay X.O 4TR 800g,Hộp,MOON CAKES," 390,000 "
,Hàng hóa,4231362,XTX_Trà xanh hạt Macadamia 150g,Cái,MOON CAKES," 68,000 "
,Hàng hóa,4231363,XDX_Đậu xanh hạnh nhân 150g,Cái,MOON CAKES," 68,000 "
,Hàng hóa,4231441,XMD_Mè đen hạt dưa 150g,Cái,MOON CAKES," 68,000 "
,Hàng hóa,4231450,Koko Choco 138g (20 hop),Hộp,TET," 43,000 "
,Hàng hóa,4231487,99_Dẻo Sầu riêng 0TR 180g,Cái,MOON CAKES," 55,000 "
,Hàng hóa,4231501,HNG_Hồng Ngọc An Lành Xanh (4 Bánh) - 4231501,Hộp,MOON CAKES," 610,000 "
,Hàng hóa,4231502,HNXD Hồng ngọc An Nhiên Xanh Dương (4 Bánh) - 4231502,Hộp,MOON CAKES," 610,000 "
,Hàng hóa,4231566,PLX6_TV Pha Lê Vạn Phúc (Xanh) - 4231566,Hộp,MOON CAKES," 1,000,000 "
,Hàng hóa,4231567,SR1_Sầu riêng 1TR 150g,Cái,MOON CAKES," 65,000 "
,Hàng hóa,4231643,Slide Tự nhiên 75grx28lon,Lon,KINH DO," 21,500 "
,Hàng hóa,4231644,Slide Kem hành 75grx28lon,Lon,KINH DO," 21,500 "
,Hàng hóa,4231645,Slide BBQ Thịt nướng 75grx28lon,Lon,KINH DO," 21,500 "
,Hàng hóa,4231646,Slide Thơm Cay 75grx28 lon,Lon,KINH DO," 21,500 "
,Hàng hóa,4231647,Slide Tự Nhiên 160gx14lon,Lon,KINH DO," 35,500 "
,Hàng hóa,4231648,Slide Kem hành 160gx14lon,Lon,KINH DO," 35,500 "
,Hàng hóa,4231649,Slide BBQ Thịt nướng 160grx14lon,Lon,KINH DO," 35,500 "
,Hàng hóa,4231650,Slide Thơm Cay160gx14 lon,Lon,KINH DO," 35,500 "
,Hàng hóa,4231662,Slide Cheese Phô mai 160grx14lon,Lon,KINH DO," 35,500 "
,Hàng hóa,4231663,Slide Phô mai 75grx28lon,Lon,KINH DO," 21,500 "
,Hàng hóa,4231671,Slide Tự nhiên 100gx14lon,Lon,KINH DO," 26,500 "
,Hàng hóa,4231673,Slide Thơm Cay 100gx14lon,Lon,KINH DO," 26,500 "
,Hàng hóa,4231826,LU Pháp Beurre 600grx10hop HT,Hộp,TET," 229,000 "
,Hàng hóa,4231838,B_Bào ngư 2TR 210g,Cái,MOON CAKES," 167,000 "
,Hàng hóa,4231841,HV_Heo Vàng phô mai 120g,Cái,MOON CAKES," 60,000 "
,Hàng hóa,4252743,COSY banh quy bo TC socola 546gx6HT TET,Hộp,TET," 141,000 "
,Hàng hóa,4253218,Mini Oreo Original 6x20.4g MSTVH,Hộp,KINH DO," 44,000 "
,Hàng hóa,4253219,Mini Oreo Vani 61.3grx24H,Hộp,KINH DO," 17,000 "
,Hàng hóa,4254966,AFC 350GR X 8H TET,Hộp,TET," 64,000 "
,Hàng hóa,4256785,Oreo socola pie 6x30grx12Hop,Hộp,KINH DO," 26,500 "
,Hàng hóa,4256786,Oreo socola pie 360grx8Hop,Hộp,KINH DO," 48,500 "
,Hàng hóa,4257568,AFC Lúa mì 100grx36hop,Hộp,KINH DO," 11,800 "
,Hàng hóa,4257569,AFC Lua mi 200GR x 16H,Hộp,KINH DO," 23,000 "
,Hàng hóa,4257572,AFC Rau 100grx36hop,Hộp,KINH DO," 11,800 "
,Hàng hóa,4257573,AFC Rau 200grx16hop,Hộp,KINH DO," 23,000 "
,Hàng hóa,4257576,AFC Tảo biển 200grx16H,Hộp,KINH DO," 23,000 "
,Hàng hóa,4257577,AFC Bò bít tết 200grx16hop,Hộp,KINH DO," 23,000 "
,Hàng hóa,4257637,Ritz Kem Phô mai Sandwich 118grx24Cây,Cây,KINH DO," 13,800 "
,Hàng hóa,4261935,COSY bánh quế dâu 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4261941,COSY bánh quế cam 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4261942,COSY bánh quế dứa 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4261943,COSY bánh quế choco 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4261945,COSY bánh quế thập cẩm 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4261947,Oreo Vani Wafer Roll 54grx20Hop,Hộp,KINH DO," 9,500 "
,Hàng hóa,4261955,Oreo Bánh quế Choco Wafer Roll 54grx20Hop,Hộp,KINH DO," 9,500 "
,Hàng hóa,4262025,T1_Hạt sen trà xanh 1TR 150g,Cái,MOON CAKES," 65,000 "
,Hàng hóa,4262194,Cosy Bánh quy Wonderfuls Hạt Điều&Bơ 168grx24Hop,Hộp,KINH DO," 19,500 "
,Hàng hóa,4262196,Cosy Bánh quy Wonderfuls Hạt Điều&Bơ 84gx 48h,Hộp,KINH DO," 10,000 "
,Hàng hóa,4263436,HKD_TV Hoàng Kim Vinh Hiển Đỏ 4Bx160g+Trà - 4263436,Hộp,MOON CAKES," 1,300,000 "
,Hàng hóa,4263438,HKV_TV Hoàng Kim Vinh Hoa Vàng 4Bx160g+Trà - 4263438,Hộp,MOON CAKES," 1,300,000 "
,Hàng hóa,4263439,HND_TV Hồng Ngọc An Thịnh Đỏ 4Bx160g - 4263439,Hộp,MOON CAKES," 760,000 "
,Hàng hóa,4263440,HNV_TV Hồng Ngọc An Phú Vàng 4Bx160g - 4263440,Hộp,MOON CAKES," 760,000 "
,Hàng hóa,4264085,G4_TV Black&Gold 4Bx160g+Trà - 4264085,Hộp,MOON CAKES," 1,500,000 "
,Hàng hóa,4264086,G2_TV Black&Gold 2Bx160g+Trà - 4264086,Hộp,MOON CAKES," 610,000 "
,Hàng hóa,4264345,COSY banh quy bo TC socola 336gx12HG TET ( DO ),Hộp,TET," 65,000 "
,Hàng hóa,4264347,COSY banh quy bo TC rac hat 336gx12HGTET ( VANG ),Hộp,TET," 65,000 "
,Hàng hóa,4264765,Solite cuon kem la dua+dau 324grx10H TET,Hộp,TET," 62,000 "
,Hàng hóa,4264766,Solite tron kem bo sua+dau 324grx10H TET,Hộp,TET," 62,000 "
,Hàng hóa,4265305,KC_TV Black&Gold Kim cương 6Bx160g+Trà - 4265305,Hộp,MOON CAKES," 4,900,000 "
,Hàng hóa,4269891,OREO socola pie 60grx48H,Hộp,KINH DO," 9,810 "
,Hàng hóa,4274269,KD BBL Bơ Nho 38grx120g (LAN NHO),Gói,TƯƠI KINH ĐÔ," 4,200 "
,Hàng hóa,4274271,KD BMT Gà xốt thái cay 60grx6x12g (GÀ),Gói,TƯƠI KINH ĐÔ," 9,000 "
,Hàng hóa,4275543,Slide Tự Nhiên 90gx28 LON PROMOTION,Lon,KINH DO," 21,500 "
,Hàng hóa,4275544,Slide BBQ Thịt Nướng 90gx28 LON PROMOTION,Lon,KINH DO," 21,500 "
,Hàng hóa,4275545,Slide Hot & Spicy 90gx28 LON PROMOTION,Lon,KINH DO," 21,500 "
,Hàng hóa,4275855,THU3H-Hộp BTT Như Ý 3 Bánh-Hồng - 4275855,Hộp,MOON CAKES," 280,000 "
,Hàng hóa,4275856,86_Dẻo Đậu xanh Hạt dưa 0TR 230g,Cái,MOON CAKES," 70,000 "
,Hàng hóa,4275859,THU6X-Hộp BTT Như Ý 6 Bánh-Xanh - 4275859,Hộp,MOON CAKES," 480,000 "
,Hàng hóa,4275860,THU6H- Hộp BTT Như Ý 6 Bánh-Hồng - 4275860,Hộp,MOON CAKES," 480,000 "
,Hàng hóa,4275861,THU3X- Hộp BTT Như Ý 3 Bánh-Xanh - 4275861,Hộp,MOON CAKES," 280,000 "
,Hàng hóa,4275863,82_Dẻo Hạt Sen Hạt dưa 1TR 230g,Cái,MOON CAKES," 75,000 "
,Hàng hóa,4275866,85_Dẻo Hạt sen Hạt dưa 0TR 230g,Cái,MOON CAKES," 70,000 "
,Hàng hóa,4275867,83_Dẻo Đậu xanh hạt dưa 1TR 230g,Cái,MOON CAKES," 75,000 "
,Hàng hóa,4276009,Solite tầng kem bơ sữa 374grx10gói,KHAY,KINH DO," 41,000 "
,Hàng hóa,4277591,AFC Caramel Flan 300grx16Hop,Hộp,KINH DO," 37,400 "
,Hàng hóa,4277592,AFC Caramel Flan 125grx36Hop,Hộp,KINH DO," 17,700 "
,Hàng hóa,4277593,LU Bánh quy bơ thập cẩm 540grx6hop,Hộp,TET," 155,000 "
,Hàng hóa,4277668,LU Bánh quy bơ thập cẩm 708grx6hop HT,Hộp,TET," 195,000 "
,Hàng hóa,4277669,LU Bánh quy bơ thập cẩm 310grx12hop HT,Hộp,TET," 100,000 "
,Hàng hóa,4277670,LU Bánh quy bơ thập cẩm 180grx18H HT,Hộp,TET," 55,000 "
,Hàng hóa,4278013,Solite tang kem cam 102gx12H,KHAY,KINH DO," 14,000 "
,Hàng hóa,4278028,Solite tầng kem cam 238grx12gói,KHAY,KINH DO," 29,000 "
,Hàng hóa,4278067,COSY banh quy bo TC 602gx6HT TET,Hộp,TET," 125,000 "
,Hàng hóa,4278240,KD BBL Hạt socola 50grx10x12g ( LAN SÔ),Gói,TƯƠI KINH ĐÔ," 5,200 "
,Hàng hóa,4278243,KD BMT Nhân Bò 70grx80 (BÒ),Gói,TƯƠI KINH ĐÔ," 8,000 "
,Hàng hóa,4278245,KD BMT 3 Múi Bơ Sữa 90grx50g,Gói,TƯƠI KINH ĐÔ," 6,800 "
,Hàng hóa,4278453,KD BMT Pizza XX Phô Mai 70grx60G (PIZZA),Gói,TƯƠI KINH ĐÔ," 8,830 "
,Hàng hóa,4278500,KD BMT KO Nhân Socola 40gx140gói ( KO NHÂN SÔ),Gói,TƯƠI KINH ĐÔ," 3,200 "
,Hàng hóa,4278501,KD BMT Lá Dứa 40grx140Gói (DỨA),Gói,TƯƠI KINH ĐÔ," 3,200 "
,Hàng hóa,4278503,KD BMT Siêu Mềm Bơ Sữa 55grx80g (MỀM SỮA),Gói,TƯƠI KINH ĐÔ," 5,700 "
,Hàng hóa,4278504,KD BMT Siêu Mềm Socola 55grx80g (MỀM SÔ),Gói,TƯƠI KINH ĐÔ," 5,700 "
,Hàng hóa,4278506,KD BMT Chà Bông 80grx50g (CHÀ BÔNG),Gói,TƯƠI KINH ĐÔ," 8,540 "
,Hàng hóa,4278520,KD BBL Tròn Cam 50grx120g (LAN CAM),Gói,TƯƠI KINH ĐÔ," 5,200 "
,Hàng hóa,4278537,KD SW Chà Bông 50grx64g (CHÀ BÔNG),Gói,TƯƠI KINH ĐÔ," 4,700 "
,Hàng hóa,4278872,Oreo Bánh quy Berry Việt quất 123.5grx24hop,Cây,KINH DO," 13,300 "
,Hàng hóa,4278961,Oreo Bánh quy Chocolate123.5grx24hop,Cây,KINH DO," 13,300 "
,Hàng hóa,4278962,Oreo Bánh quy Vani 123.5grx24hop,Cây,KINH DO," 13,300 "
,Hàng hóa,4278989,Oreo Bánh quy Dâu 123.5grx24hop,Cây,KINH DO," 13,300 "
,Hàng hóa,4279731,Oreo Birthday Sprinkles 123.5grx24,Cây,KINH DO," 13,300 "
,Hàng hóa,4280786,COSY Bánh quy Marie 144grX24gói PACK - SEA,Gói,KINH DO," 14,300 "
,Hàng hóa,4280824,"Pocket SW Mojo 58,5grX60Bag",Gói,TƯƠI KINH ĐÔ," 12,000 "
,Hàng hóa,4280825,Pocket SW Mojo 117grX36Bag,Gói,TƯƠI KINH ĐÔ," 22,000 "
,Hàng hóa,4281386,Slide Gà nướng 160grx14lon,Lon,KINH DO," 35,500 "
,Hàng hóa,4281387,Slide Gà nướng 75gx28lon,Lon,KINH DO," 21,500 "
